Supported Sides,Load,Length,Width,Layer Type,Thickness,COF Value
1,1,1000,N/A,mono,8,49.89423
1,1,1000,N/A,mono,10,28.63902
1,1,1000,N/A,mono,12,12.55378
1,1,1000,N/A,mono,16,6.18713
1,1,1000,N/A,mono,19,3.36872
1,1,1000,N/A,mono,22,2.66944
1,1,1000,N/A,laminated,12,11.57851
1,1,1000,N/A,laminated,16,10.65705
1,1,1000,N/A,laminated,19,6.0
1,1,1500,N/A,mono,16,30.3678
1,1,1500,N/A,mono,19,17.13553
1,1,1500,N/A,mono,22,12.50359
1,1,1500,N/A,laminated,19,30.375
1,1,2000,N/A,mono,22,37.39759
1,1.5,1000,N/A,mono,10,43.04056
1,1.5,1000,N/A,mono,12,18.69842
1,1.5,1000,N/A,mono,16,9.20916
1,1.5,1000,N/A,mono,19,5.0591
1,1.5,1000,N/A,mono,22,3.92712
1,1.5,1000,N/A,laminated,12,17.36776
1,1.5,1000,N/A,laminated,16,15.94531
1,1.5,1000,N/A,laminated,19,9.0
1,1.5,1500,N/A,mono,16,45.20062
1,1.5,1500,N/A,mono,19,25.7339
1,1.5,1500,N/A,mono,22,18.39452
1,1.5,1500,N/A,laminated,19,45.5625
1,2,1000,N/A,mono,12,24.80687
1,2,1000,N/A,mono,16,12.21166
1,2,1000,N/A,mono,19,6.75116
1,2,1000,N/A,mono,22,5.16447
1,2,1000,N/A,laminated,12,23.15702
1,2,1000,N/A,laminated,16,21.2224
1,2,1000,N/A,laminated,19,12.0
1,2,1500,N/A,mono,19,34.34084
1,2,1500,N/A,mono,22,24.19027
2,1,1000,1000,mono,6,12.58498
2,1,1000,1000,mono,8,5.02852
2,1,1000,1000,mono,10,2.92165
2,1,1000,1000,mono,12,1.2319
2,1,1000,1000,mono,16,0.54173
2,1,1000,1000,mono,19,0.36379
2,1,1000,1000,mono,22,0.25845
2,1,1000,1000,laminated,6,26.36793
2,1,1000,1000,laminated,8,5.48697
2,1,1000,1000,laminated,10,9.64846
2,1,1000,1000,laminated,12,5.47243
2,1,1000,1000,laminated,16,1.18333
2,1,1000,1000,laminated,19,0.25
2,1,1500,1000,mono,8,26.90325
2,1,1500,1000,mono,10,15.06914
2,1,1500,1000,mono,12,6.21744
2,1,1500,1000,mono,16,2.93871
2,1,1500,1000,mono,19,1.80251
2,1,1500,1000,mono,22,1.25995
2,1,1500,1000,laminated,8,27.77778
2,1,1500,1000,laminated,10,49.75722
2,1,1500,1000,laminated,12,27.98932
2,1,1500,1000,laminated,16,5.70266
2,1,1500,1000,laminated,19,1.26563
2,1,2000,1000,mono,10,48.26
2,1,2000,1000,mono,12,19.60758
2,1,2000,1000,mono,16,9.75449
2,1,2000,1000,mono,19,5.61063
2,1,2000,1000,mono,22,3.87682
2,1,2000,1000,laminated,16,17.40415
2,1,2000,1000,laminated,19,4.0
2,1,2500,1000,mono,12,47.78958
2,1,2500,1000,mono,16,24.73777
2,1,2500,1000,mono,19,13.53675
2,1,2500,1000,mono,22,9.27028
2,1,2500,1000,laminated,16,41.35412
2,1,2500,1000,laminated,19,9.76562
2,1,3000,1000,mono,19,27.79985
2,1,3000,1000,mono,22,18.89929
2,1,3000,1000,laminated,19,20.25
2,1.5,1000,1000,mono,6,19.2092
2,1.5,1000,1000,mono,8,7.6477
2,1.5,1000,1000,mono,10,4.40294
2,1.5,1000,1000,mono,12,1.84643
2,1.5,1000,1000,mono,16,0.82675
2,1.5,1000,1000,mono,19,0.54276
2,1.5,1000,1000,mono,22,0.38404
2,1.5,1000,1000,laminated,6,39.5519
2,1.5,1000,1000,laminated,8,8.23045
2,1.5,1000,1000,laminated,10,14.53977
2,1.5,1000,1000,laminated,12,8.22968
2,1.5,1000,1000,laminated,16,1.75327
2,1.5,1000,1000,laminated,19,0.375
